LONG,LAT,WL_MBGL,geometry,potential
73.08917,30.47,6.12704147368421,POINT (73.08917 30.47),1
73.00361,30.61306,7.460306571428572,POINT (73.00361 30.61306),1
72.80083,30.305,7.578482545454546,POINT (72.80083 30.305),1
72.85556,30.27167,8.81634,POINT (72.85556 30.27167),1
72.99472,30.36,10.8185712,POINT (72.99472 30.36),1
72.22583,30.32722,9.466834,POINT (72.22583 30.32722),1
72.37417,29.87167,11.64336,POINT (72.37417 29.87167),1
72.399,32.302,12.18,POINT (72.399 32.302),1
71.913,32.331,14.167142857142858,POINT (71.913 32.331),1
72.48076,30.53285,3.233256571,POINT (72.48076 30.53285),1
71.909,32.325,19.662,POINT (71.909 32.325),1
71.88,31.72,17.032,POINT (71.88 31.72),1
72.30639,30.52583,14.3368395,POINT (72.30639 30.52583),1
72.39833,30.44056,11.81608,POINT (72.39833 30.44056),1
72.58389,30.20194,10.334498,POINT (72.58389 30.20194),1
72.53,31.76,37.34,POINT (72.53 31.76),0
71.888,32.116,12.57,POINT (71.888 32.116),1
72.407,31.58,17.74142857142857,POINT (72.407 31.58),1
72.97,31.78,20.645,POINT (72.97 31.78),0
72.45,31.814,14.99,POINT (72.45 31.814),1
73.003,31.699,23.331666666666667,POINT (73.003 31.699),0
72.351,31.14,15.335714285714285,POINT (72.351 31.14),1
72.514,31.822,19.175,POINT (72.514 31.822),1
72.22,31.39,16.92142857142857,POINT (72.22 31.39),1
72.528,31.898,22.542857142857144,POINT (72.528 31.898),0
72.513,31.899,15.23857142857143,POINT (72.513 31.899),1
72.40333,30.57111,5.5464456,POINT (72.40333 30.57111),1
72.46778,30.47972,11.406759000000001,POINT (72.46778 30.47972),1
72.64306,30.31528,11.36904,POINT (72.64306 30.31528),1
72.83694,30.32944,11.335512,POINT (72.83694 30.32944),1
72.58639,30.535,11.031346999999998,POINT (72.58639 30.535),1
72.63833,30.435,12.42441,POINT (72.63833 30.435),1
72.033,30.322,10.332820081388888,POINT (72.033 30.322),1
73.999,31.727,44.995,POINT (73.999 31.727),0
71.626,29.962,23.5775,POINT (71.626 29.962),0
71.759,30.015,28.915,POINT (71.759 30.015),0
71.672,29.941,21.83,POINT (71.672 29.941),0
71.658,30.418,44.099999999999994,POINT (71.658 30.418),0
71.87,30.067,37.582499999999996,POINT (71.87 30.067),0
72.685,30.33528,7.116753428571428,POINT (72.685 30.33528),1
71.856,30.116,20.995,POINT (71.856 30.116),0
71.787,30.289,45.663333333333334,POINT (71.787 30.289),0
71.923,30.088,32.957499999999996,POINT (71.923 30.088),0
72.09,30.22,30.58,POINT (72.09 30.22),0
71.727,29.983,50.707499999999996,POINT (71.727 29.983),0
71.685,29.93,29.2875,POINT (71.685 29.93),0
71.837,30.076,22.4775,POINT (71.837 30.076),0
71.779,30.035,44.185,POINT (71.779 30.035),0
71.75,29.98,46.31,POINT (71.75 29.98),0
71.888,30.356,18.21,POINT (71.888 30.356),1
72.71944,30.0525,8.287512,POINT (72.71944 30.0525),1
71.8,30.063,23.3725,POINT (71.8 30.063),0
71.888,30.443,22.39,POINT (71.888 30.443),0
71.86,30.399,23.9975,POINT (71.86 30.399),0
71.892,30.189,13.5,POINT (71.892 30.189),1
71.726,30.014,20.7675,POINT (71.726 30.014),0
71.801,30.425,18.595999999999997,POINT (71.801 30.425),1
71.86,30.213,44.682500000000005,POINT (71.86 30.213),0
72.098,30.882,58.8075,POINT (72.098 30.882),0
71.70213,29.90826,10.37278068965517,POINT (71.70213 29.90826),1
71.92,30.319,38.1825,POINT (71.92 30.319),0
72.089,30.296,56.035,POINT (72.089 30.296),0
72.012,30.29,59.06,POINT (72.012 30.29),0
71.975,30.367,37.975,POINT (71.975 30.367),0
72.019,30.268,52.805,POINT (72.019 30.268),0
72.173,30.319,59.62,POINT (72.173 30.319),0
71.77389,29.80639,6.702967636363636,POINT (71.77389 29.80639),1
71.97083,29.57,12.347448,POINT (71.97083 29.57),1
71.802,32.236,5.3260000000000005,POINT (71.802 32.236),1
71.971,32.121,4.7675,POINT (71.971 32.121),1
72.081,32.24,6.2,POINT (72.081 32.24),1
72.136,32.26,6.1850000000000005,POINT (72.136 32.26),1
72.349,31.3,9.662,POINT (72.349 31.3),1
72.34,32.301,8.136,POINT (72.34 32.301),1
71.63556,30.15306,15.945104,POINT (71.63556 30.15306),1
72.289,31.569,6.215,POINT (72.289 31.569),1
72.276,31.636,2.276,POINT (72.276 31.636),1
72.28,31.567,3.978,POINT (72.28 31.567),1
71.879,32.332,6.403999999999999,POINT (71.879 32.332),1
72.352,31.299,4.28,POINT (72.352 31.299),1
72.27,32.338,5.41,POINT (72.27 32.338),1
72.113,32.325,6.804,POINT (72.113 32.325),1
72.003,32.197,2.3049999999999997,POINT (72.003 32.197),1
71.877,32.165,4.94,POINT (71.877 32.165),1
71.76722,29.90694,11.513439,POINT (71.76722 29.90694),1
72.259,32.294,4.744,POINT (72.259 32.294),1
72.234,32.079,21.8,POINT (72.234 32.079),0
72.108,32.197,22.625,POINT (72.108 32.197),0
72.30444,29.64222,8.634330857142858,POINT (72.30444 29.64222),1
73.973,31.965,17.186666666666664,POINT (73.973 31.965),1
71.92889,29.94861,8.9004648,POINT (71.92889 29.94861),1
71.666,32.044,21.685000000000002,POINT (71.666 32.044),0
72.00333,29.75472,8.296656,POINT (72.00333 29.75472),1
73.825,32.275,16.794,POINT (73.825 32.275),1
73.806,32.285,14.55,POINT (73.806 32.285),1
73.686,32.072,20.216,POINT (73.686 32.072),0
73.974,30.968,20.14,POINT (73.974 30.968),0
73.95,32.298,10.668000000000001,POINT (73.95 32.298),1
72.329,30.435,63.555,POINT (72.329 30.435),0
72.073,30.247,42.6125,POINT (72.073 30.247),0
72.18,30.89,44.6725,POINT (72.18 30.89),0
72.352,30.461,60.925,POINT (72.352 30.461),0
72.097,30.446,73.49000000000001,POINT (72.097 30.446),0
